list_price,price_reduced_amount,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,central_air,dishwasher,fireplace,forced_air,hardwood_floors,washer_dryer,basement,single_story,garage_1_or_more,garage_2_or_more,dining_room,two_or_more_stories,shopping,family_room,central_heat,laundry_room,recreation_facilities,view,community_outdoor_space,city_view,community_security_features,city_mean_price,state_mean_price
365000.0,0.0,1890,0.0,371000.0,2.0,0.0,3289.0,1933.8485593336065,2.0,Unknown,0.0,1.0,4.0,multi_family,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625508.8529411765,616922.8857142857
442900.0,0.0,1997,0.0,437000.0,2.0,1.0,8712.0,2057.0,3.0,Unknown,2.0,2.0,3.0,single_family,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,598383.7195121951,598383.7195121951
249900.0,0.0,1992,0.0,236500.0,2.0,0.0,8712.0,1600.0,2.0,Unknown,2.0,1.0,3.0,single_family,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,294581.858974359,290079.31677018636
244000.0,5500.0,1988,0.0,236000.0,2.0,0.0,7841.0,1560.0,2.0,Unknown,2.0,2.0,3.0,single_family,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,256052.60625,254681.5864197531
425000.0,0.0,1998,1.0,415000.0,2.0,1.0,10019.0,3376.0,4.0,Unknown,3.0,2.0,3.0,single_family,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,316604.6783625731,316604.6783625731
168000.0,0.0,1950,0.0,168000.0,2.0,0.0,3485.0,1716.0,2.0,Unknown,0.0,1.0,4.0,multi_family,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,240881.32653061225,256712.45454545456
415000.0,0.0,1979,0.0,420000.0,2.0,0.0,8712.0,1255.0,2.0,Unknown,2.0,1.0,3.0,single_family,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,431437.2951807229,431437.2951807229
1950000.0,200000.0,2003,0.0,1925000.0,2.0,1.0,2029.0,2029.0,3.0,condo,1.0,1.0,3.0,condos,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1377156.7810650887,1377156.7810650887
564900.0,14100.0,1910,0.0,550000.0,1.0,0.0,9583.0,1055.0,1.0,condo,0.0,1.0,2.0,condos,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1377156.7810650887,1377156.7810650887
160000.0,5000.0,1920,0.0,160000.0,1.0,0.0,6534.0,970.0,1.0,Unknown,0.0,1.0,2.0,single_family,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,256052.60625,254681.5864197531
30000.0,0.0,1970,0.0,48500.0,1.0,0.0,6534.0,864.0,1.0,Unknown,0.0,1.0,2.0,single_family,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,294581.858974359,290079.31677018636
335000.0,0.0,1942,0.0,315000.0,1.0,0.0,6534.0,1130.0,1.0,Unknown,1.0,1.0,2.0,single_family,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,529104.2348993289,516039.8231707317
609000.0,0.0,2015,1.0,609000.0,2.0,0.0,8614.0,2898.0,3.0,Unknown,3.0,1.0,3.0,single_family,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,316604.6783625731,316604.6783625731
0.0,0.0,1968,0.0,68000.0,1.8874299001504582,0.0,5960.0,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,single_family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318379.0489510489,318379.0489510489
68000.0,9000.0,1955,0.0,65000.0,2.0,0.0,9712.0,1432.0,2.0,Unknown,0.0,1.0,3.0,single_family,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,192003.05142857143,192003.05142857143
530000.0,25000.0,1950,0.0,530000.0,1.0,0.0,4831.0,957.0,1.0,Unknown,1.0,1.0,2.0,single_family,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,529104.2348993289,516039.8231707317
450000.0,0.0,2003,0.0,430000.0,2.0,1.0,3500.0,1356.0,3.0,Unknown,1.0,2.0,3.0,single_family,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,460463.07738095237,460363.5117647059
0.0,0.0,1968,0.0,350300.0,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348330.4347826087,416472.2580645161
249000.0,0.0,1975,2.0,245000.0,1.8874299001504582,0.0,7841.0,1524.0,2.0,Unknown,2.0,2.0,3.0,single_family,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,316604.6783625731,316604.6783625731
345000.0,0.0,1960,0.0,340000.0,3.0,1.0,14985.0,3386.0,4.0,Unknown,0.0,2.0,4.0,single_family,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,255024.7093023256,255024.7093023256
325000.0,0.0,2017,0.0,320000.0,2.0,0.0,8398.0,2008.0,2.0,Unknown,3.0,1.0,3.0,single_family,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,320000.0,296531.85185185185
134000.0,0.0,1971,0.0,135000.0,1.0,1.0,672.0,672.0,2.0,Unknown,0.0,1.0,2.0,mobile,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,460463.07738095237,460363.5117647059
169900.0,10000.0,1986,0.0,161500.0,1.0,1.0,2614.0,936.0,2.0,condo,1.0,2.0,2.0,condos,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,256052.60625,254681.5864197531
1475000.0,0.0,2021,0.0,1410000.0,4.0,1.0,13068.0,5702.0,5.0,Unknown,2.0,2.0,4.0,single_family,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,513855.7971014493,534219.5266272189
290000.0,0.0,2000,0.0,290000.0,3.0,0.0,8712.0,2070.0,3.0,Unknown,2.0,1.0,3.0,single_family,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,255024.7093023256,255024.7093023256
155000.0,0.0,2004,0.0,155000.0,1.0,1.0,251094.94678872835,1308.0,2.0,townhouse,1.0,2.0,2.0,townhomes,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,216802.33766233767,294512.3353293413
649000.0,0.0,1960,0.0,625000.0,2.0,0.0,8470.0,1690.0,2.0,Unknown,0.0,4.0,4.0,single_family,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,763102.2424242424,763102.2424242424
101200.0,0.0,1968,0.0,68250.0,2.0,0.0,18731.0,2556.0,2.0,Unknown,0.0,1.0,3.0,single_family,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,192003.05142857143,192003.05142857143
499900.0,40000.0,1900,0.0,490000.0,1.0,0.0,251094.94678872835,882.0,1.0,condo,0.0,1.0,2.0,condos,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1377156.7810650887,1377156.7810650887
445000.0,0.0,1972,0.0,454000.0,2.0,0.0,7266.0,1139.0,2.0,Unknown,2.0,1.0,4.0,single_family,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,529104.2348993289,516039.8231707317
350000.0,3000.0,2005,0.0,350000.0,2.0,0.0,1045.0,1059.0,2.0,condo,0.0,1.0,2.0,condos,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,513855.7971014493,534219.5266272189
159900.0,0.0,1942,0.0,159900.0,3.0,0.0,15246.0,1933.8485593336065,3.0,Unknown,0.0,1.0,5.0,single_family,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167914.0350877193,167914.0350877193
169900.0,0.0,1949,0.0,175100.0,1.0,2.0,7492.0,1015.0,3.0,Unknown,0.0,2.0,3.0,single_family,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,167914.0350877193,167914.0350877193
349900.0,0.0,2019,0.0,346000.0,2.0,1.0,2370.0,1848.0,3.0,townhouse,2.0,2.0,3.0,townhomes,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,235423.44827586206,235423.44827586206
439900.0,5100.0,2022,0.0,439900.0,3.0,1.0,4356.0,3050.0,4.0,Unknown,2.0,2.0,4.0,single_family,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,192003.05142857143,192003.05142857143
94500.0,0.0,1923,0.0,94500.0,1.0,0.0,5663.0,1209.0,1.0,Unknown,0.0,1.0,2.0,single_family,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318379.0489510489,318379.0489510489
69000.0,0.0,1968,0.0,59400.0,1.0,1.0,3485.0,1387.0,2.0,Unknown,0.0,1.0,3.0,single_family,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59400.0,41743.11392405063
150000.0,0.0,1985,0.0,158000.0,1.0,0.0,251094.94678872835,737.0,1.0,condo,0.0,1.0,2.0,condos,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,438840.127388535,438172.8323699422
1675000.0,0.0,1977,0.0,1701500.0,3.0,0.0,37462.0,2903.0,3.0,Unknown,2.0,1.0,3.0,single_family,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,551940.5512820513,533610.1529411764
329000.0,21000.0,1948,0.0,330000.0,1.0,0.0,2614.0,1792.0,1.0,Unknown,1.0,1.0,2.0,single_family,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,431437.2951807229,431437.2951807229
115000.0,10000.0,1955,0.0,115000.0,1.0,0.0,6970.0,754.0,1.0,Unknown,0.0,1.0,2.0,single_family,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294581.858974359,290079.31677018636
499900.0,0.0,1993,0.0,500000.0,2.0,0.0,4696.0,1650.0,2.0,Unknown,2.0,1.0,3.0,single_family,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,551940.5512820513,533610.1529411764
359900.0,19100.0,1940,0.0,359900.0,1.0,0.0,4791.0,1719.0,1.0,Unknown,1.0,2.0,3.0,single_family,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,431437.2951807229,431437.2951807229
129900.0,10000.0,1968,0.0,115000.0,3.0,0.0,7318.0,3500.0,3.0,Unknown,0.0,2.0,4.0,single_family,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,255024.7093023256,255024.7093023256
440000.0,0.0,1956,0.0,432000.0,2.0,0.0,7410.0,2155.0,2.0,Unknown,0.0,1.0,5.0,single_family,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,551940.5512820513,533610.1529411764
